epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.845,1.38461,4.87175,1.19987,0.03876,0.03049,0.01007,0.00741,1.29098,3.15498,1.09836,8e-05,8e-05,8e-05
2,182.739,0.99863,2.63466,0.99884,0.85567,0.5061,0.65839,0.47354,1.14762,7.12392,1.06856,0.000178218,0.000178218,0.000178218
3,211.856,0.90897,0.76298,0.89555,0.83159,0.65244,0.7294,0.55808,1.03927,1.20911,0.99432,0.000274456,0.000274456,0.000274456
4,241.608,0.82394,0.57193,0.88784,0.86704,0.65854,0.78203,0.56084,1.05746,1.44377,0.96148,0.000368714,0.000368714,0.000368714
5,275.822,0.82289,0.52146,0.87731,0.87435,0.75,0.83559,0.61232,0.99738,1.08963,0.93964,0.000460992,0.000460992,0.000460992
6,336.731,0.81003,0.48026,0.88416,0.67849,0.71951,0.6534,0.48866,0.9218,1.28706,0.91833,0.00055129,0.00055129,0.00055129
7,369.785,0.80248,0.49498,0.85701,0.26801,0.70122,0.23435,0.16358,0.99574,3.70058,0.9457,0.000639608,0.000639608,0.000639608
8,414.429,0.84794,0.50227,0.86472,0.66649,0.68293,0.5989,0.46062,0.89556,1.1122,0.90297,0.000725946,0.000725946,0.000725946
9,461.892,0.79588,0.47357,0.86976,0.89496,0.7378,0.8092,0.60507,0.96404,1.00286,0.92391,0.000810304,0.000810304,0.000810304
10,490.307,0.78902,0.46713,0.89407,0.86348,0.73276,0.79208,0.61791,0.95104,1.00726,0.91465,0.000892682,0.000892682,0.000892682
11,522.052,0.76873,0.45435,0.86196,0.8836,0.7378,0.79889,0.59548,0.97078,1.11151,0.9125,0.00097308,0.00097308,0.00097308
12,649.641,0.82259,0.46094,0.87701,0.46603,0.71951,0.39281,0.29151,0.93112,1.6169,0.90723,0.0010515,0.0010515,0.0010515
13,675.938,0.82649,0.50976,0.89309,0.77585,0.69512,0.66889,0.49393,0.99768,0.95872,0.92354,0.00112794,0.00112794,0.00112794
14,701.859,0.80135,0.45063,0.85571,0.88818,0.70122,0.79203,0.59452,0.99321,0.93612,0.92607,0.00120239,0.00120239,0.00120239
15,731.298,0.75952,0.46671,0.89499,0.81537,0.754,0.80233,0.58749,0.99314,0.89884,0.92366,0.00127487,0.00127487,0.00127487
16,765.678,0.7553,0.42478,0.85818,0.84244,0.74986,0.80639,0.58705,0.98688,0.95514,0.91923,0.00134537,0.00134537,0.00134537
17,797.522,0.78415,0.46602,0.86607,0.77755,0.63941,0.70299,0.51096,1.02991,1.11161,0.94378,0.00141389,0.00141389,0.00141389
18,819.711,0.78651,0.45206,0.866,0.80364,0.47561,0.52827,0.38134,1.11949,1.58699,1.01078,0.00148043,0.00148043,0.00148043
19,848.815,0.75654,0.42496,0.86907,0.17439,0.17683,0.0713,0.04923,1.28936,3.11502,1.08682,0.00154498,0.00154498,0.00154498
20,873.973,0.71819,0.44199,0.86035,0.85044,0.40854,0.4616,0.34172,1.14438,2.2533,1.0123,0.00160756,0.00160756,0.00160756
21,901.465,0.75405,0.44484,0.87042,0.87321,0.41994,0.48908,0.35179,1.21633,2.23713,1.00798,0.001604,0.001604,0.001604
22,927.029,0.82356,0.4758,0.86414,0.87948,0.48949,0.57445,0.42254,1.10296,1.65026,0.96958,0.0015842,0.0015842,0.0015842
23,954.584,0.79855,0.44733,0.87403,0.86242,0.58537,0.61375,0.48456,1.05157,1.34129,0.96909,0.0015644,0.0015644,0.0015644
24,980.671,0.76712,0.44848,0.87169,0.92057,0.66463,0.69116,0.50674,1.10797,1.26383,0.99568,0.0015446,0.0015446,0.0015446
25,1007.74,0.77626,0.43602,0.87226,0.9342,0.73171,0.76983,0.5718,1.07793,1.03528,0.97372,0.0015248,0.0015248,0.0015248
26,1037.52,0.7798,0.45566,0.86008,0.92187,0.71951,0.80021,0.61602,0.96114,0.87921,0.93011,0.001505,0.001505,0.001505
27,1061.62,0.68687,0.40895,0.8574,0.94363,0.71458,0.81579,0.61593,0.95141,0.81292,0.92714,0.0014852,0.0014852,0.0014852
28,1090.44,0.71571,0.39572,0.83446,0.91699,0.81098,0.83668,0.63951,0.94218,0.73482,0.91677,0.0014654,0.0014654,0.0014654
29,1115.18,0.7319,0.40911,0.88108,0.91378,0.81098,0.85084,0.653,0.94081,0.71269,0.91938,0.0014456,0.0014456,0.0014456
30,1139.7,0.7013,0.38756,0.83117,0.93338,0.79268,0.86273,0.66139,0.94312,0.6566,0.91971,0.0014258,0.0014258,0.0014258
31,1169.98,0.71661,0.38396,0.84131,0.93548,0.81707,0.86999,0.66723,0.93747,0.66179,0.92325,0.001406,0.001406,0.001406
32,1200.72,0.6933,0.36414,0.83162,0.97056,0.80423,0.86005,0.65388,0.98148,0.68325,0.94021,0.0013862,0.0013862,0.0013862
33,1228.64,0.70116,0.38775,0.85333,0.95707,0.8157,0.85811,0.64659,0.93572,0.66639,0.93976,0.0013664,0.0013664,0.0013664
34,1255.18,0.68124,0.37149,0.83908,0.9421,0.81098,0.84809,0.63472,0.96295,0.67447,0.96394,0.0013466,0.0013466,0.0013466
35,1288.51,0.68109,0.36983,0.85705,0.94806,0.77903,0.83427,0.62286,0.97995,0.68993,0.96791,0.0013268,0.0013268,0.0013268
36,1305.91,0.72339,0.39006,0.8509,0.94797,0.77772,0.82784,0.6275,0.94472,0.67988,0.95868,0.001307,0.001307,0.001307
37,1327.21,0.65873,0.35815,0.8313,0.9508,0.79268,0.84278,0.64188,0.93244,0.68228,0.95041,0.0012872,0.0012872,0.0012872
38,1350.51,0.62956,0.34146,0.84263,0.9462,0.79878,0.83877,0.63795,0.95587,0.69304,0.95351,0.0012674,0.0012674,0.0012674
39,1376.7,0.65934,0.35221,0.83674,0.94282,0.78049,0.85666,0.6453,0.953,0.67643,0.939,0.0012476,0.0012476,0.0012476
40,1401.6,0.68335,0.35236,0.83393,0.94589,0.78659,0.85437,0.64781,0.94698,0.65068,0.9241,0.0012278,0.0012278,0.0012278
41,1420.48,0.66293,0.34755,0.83529,0.93137,0.78049,0.8499,0.63454,0.97281,0.65973,0.93414,0.001208,0.001208,0.001208
42,1450.46,0.61711,0.34548,0.83205,0.937,0.76829,0.85386,0.64464,0.93742,0.64726,0.92099,0.0011882,0.0011882,0.0011882
43,1468.37,0.62501,0.33603,0.84168,0.89324,0.82317,0.87246,0.65539,0.91833,0.62149,0.90973,0.0011684,0.0011684,0.0011684
44,1485.54,0.64383,0.33963,0.83882,0.94824,0.78194,0.86608,0.66142,0.92747,0.62345,0.91227,0.0011486,0.0011486,0.0011486
45,1506.62,0.6238,0.33359,0.82715,0.93433,0.79268,0.86572,0.66657,0.89029,0.61947,0.90279,0.0011288,0.0011288,0.0011288
46,1527.34,0.63906,0.35221,0.82344,0.92789,0.78461,0.85105,0.65358,0.92468,0.64624,0.91209,0.001109,0.001109,0.001109
47,1543.74,0.60624,0.33042,0.83343,0.8877,0.81707,0.85629,0.64762,0.94291,0.64555,0.92861,0.0010892,0.0010892,0.0010892
48,1562.69,0.6317,0.34862,0.85279,0.92095,0.78139,0.84635,0.65062,0.93542,0.69407,0.92743,0.0010694,0.0010694,0.0010694
49,1580.69,0.61872,0.33126,0.83108,0.87343,0.79946,0.85444,0.63299,1.00704,0.74397,0.9546,0.0010496,0.0010496,0.0010496
50,1601.51,0.6048,0.32711,0.84715,0.86408,0.78659,0.84243,0.63416,0.98057,0.7715,0.9545,0.0010298,0.0010298,0.0010298
51,1615.89,0.68348,0.37015,0.86611,0.93272,0.76075,0.84386,0.64475,0.92823,0.77605,0.93706,0.00101,0.00101,0.00101
52,1633.78,0.62572,0.33398,0.83628,0.8874,0.76892,0.82813,0.6238,1.03667,0.79199,0.97217,0.0009902,0.0009902,0.0009902
53,1664.5,0.62613,0.3413,0.8269,0.89998,0.77439,0.83137,0.63953,0.97356,0.77147,0.9575,0.0009704,0.0009704,0.0009704
54,1692.44,0.62349,0.33547,0.81356,0.91744,0.76829,0.83244,0.63934,0.92472,0.74524,0.94201,0.0009506,0.0009506,0.0009506
55,1716.45,0.59879,0.321,0.84684,0.91322,0.78049,0.83328,0.63104,0.963,0.70856,0.95774,0.0009308,0.0009308,0.0009308
56,1740.7,0.59729,0.3218,0.84807,0.95819,0.7622,0.85695,0.62825,0.98239,0.65917,0.97805,0.000911,0.000911,0.000911
57,1775.5,0.58589,0.32937,0.83823,0.92752,0.79268,0.85307,0.64098,0.94032,0.63155,0.97144,0.0008912,0.0008912,0.0008912
58,1825.46,0.58072,0.30586,0.82473,0.93652,0.79268,0.83754,0.63324,0.945,0.63713,0.97397,0.0008714,0.0008714,0.0008714
59,1875.32,0.58529,0.31552,0.83296,0.94278,0.80376,0.83289,0.62357,0.97978,0.66662,0.98645,0.0008516,0.0008516,0.0008516
60,1939.95,0.58431,0.30101,0.82105,0.95373,0.78659,0.82371,0.62295,0.9434,0.6886,0.95894,0.0008318,0.0008318,0.0008318
61,1968.77,0.57598,0.29805,0.82486,0.9674,0.78659,0.82708,0.63136,0.9387,0.72512,0.95093,0.000812,0.000812,0.000812
62,2007.3,0.61768,0.31381,0.81616,0.96976,0.78224,0.82678,0.62851,0.94024,0.72067,0.95159,0.0007922,0.0007922,0.0007922
63,2033.7,0.56033,0.30044,0.83993,0.94824,0.78195,0.81843,0.62116,0.95542,0.73949,0.95628,0.0007724,0.0007724,0.0007724
64,2074.51,0.57898,0.30486,0.82095,0.93656,0.79268,0.82408,0.62357,0.9406,0.75434,0.9419,0.0007526,0.0007526,0.0007526
65,2100.36,0.589,0.31392,0.81817,0.93441,0.79268,0.82359,0.61892,0.97271,0.73823,0.94132,0.0007328,0.0007328,0.0007328
66,2184.57,0.56683,0.29864,0.81259,0.95583,0.79175,0.8291,0.62818,0.96653,0.72182,0.9386,0.000713,0.000713,0.000713
67,2224.82,0.56482,0.30492,0.8251,0.94572,0.80488,0.82852,0.63475,0.93291,0.71371,0.92923,0.0006932,0.0006932,0.0006932
68,2298.36,0.53833,0.29217,0.82251,0.93795,0.79878,0.82872,0.63556,0.92769,0.7286,0.92547,0.0006734,0.0006734,0.0006734
69,2351.53,0.56502,0.29358,0.80788,0.93503,0.78982,0.82267,0.62176,0.95424,0.73664,0.93389,0.0006536,0.0006536,0.0006536
